nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_3_29,SB,ModerateAutism_3_61,MO,0.9477
SocialBehavioralAutism_3_29,SB,ModerateAutism_4_105,MO,0.9892
SocialBehavioralAutism_3_29,SB,ModerateAutism_4_181,MO,0.8659
SocialBehavioralAutism_3_31,SB,ModerateAutism_2_11,MO,0.9775
SocialBehavioralAutism_3_31,SB,ModerateAutism_2_20,MO,0.9804
SocialBehavioralAutism_3_31,SB,ModerateAutism_4_101,MO,0.9356
SocialBehavioralAutism_3_31,SB,ModerateAutism_4_182,MO,0.9879
SocialBehavioralAutism_3_34,SB,ModerateAutism_3_23,MO,0.9678
SocialBehavioralAutism_3_34,SB,ModerateAutism_4_183,MO,0.9977
SocialBehavioralAutism_3_35,SB,ModerateAutism_4_99,MO,0.7231
SocialBehavioralAutism_3_35,SB,ModerateAutism_4_151,MO,0.876
SocialBehavioralAutism_3_36,SB,ModerateAutism_4_124,MO,0.9705
SocialBehavioralAutism_3_37,SB,ModerateAutism_4_77,MO,0.9949
SocialBehavioralAutism_3_37,SB,ModerateAutism_4_78,MO,0.5949
SocialBehavioralAutism_3_37,SB,ModerateAutism_4_114,MO,0.6868
SocialBehavioralAutism_3_37,SB,ModerateAutism_4_182,MO,0.668
SocialBehavioralAutism_3_37,SB,ModerateAutism_4_212,MO,0.7031
