nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_5_174,SB,MixedASDwithDelay_4_65,MX,0.9763
SocialBehavioralAutism_5_178,SB,MixedASDwithDelay_9_256,MX,0.9375
SocialBehavioralAutism_5_180,SB,MixedASDwithDelay_4_65,MX,0.977
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_2_6,MX,0.986
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_5_73,MX,0.5937
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_5_90,MX,0.6005
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_7_174,MX,0.9917
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_8_228,MX,0.9622
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_9_257,MX,0.5633
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_9_260,MX,0.9803
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_9_305,MX,0.9785
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_10_329,MX,0.9912
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_10_340,MX,0.6753
SocialBehavioralAutism_5_198,SB,MixedASDwithDelay_4_51,MX,0.7441
SocialBehavioralAutism_5_198,SB,MixedASDwithDelay_7_140,MX,0.728
SocialBehavioralAutism_5_198,SB,MixedASDwithDelay_9_279,MX,0.9373
SocialBehavioralAutism_5_199,SB,MixedASDwithDelay_9_264,MX,0.9666
SocialBehavioralAutism_5_202,SB,MixedASDwithDelay_1_1,MX,0.5977
SocialBehavioralAutism_5_202,SB,MixedASDwithDelay_6_124,MX,0.9942
SocialBehavioralAutism_5_205,SB,MixedASDwithDelay_4_43,MX,0.9666
SocialBehavioralAutism_5_206,SB,MixedASDwithDelay_8_215,MX,0.6461
SocialBehavioralAutism_5_210,SB,MixedASDwithDelay_9_266,MX,0.8941
SocialBehavioralAutism_5_213,SB,MixedASDwithDelay_4_52,MX,0.9974
SocialBehavioralAutism_5_215,SB,MixedASDwithDelay_5_69,MX,0.9908
SocialBehavioralAutism_5_215,SB,MixedASDwithDelay_10_329,MX,0.8624
SocialBehavioralAutism_5_216,SB,MixedASDwithDelay_10_325,MX,0.8219
SocialBehavioralAutism_5_217,SB,MixedASDwithDelay_4_52,MX,0.7154
SocialBehavioralAutism_5_217,SB,MixedASDwithDelay_4_65,MX,0.9911
SocialBehavioralAutism_5_217,SB,MixedASDwithDelay_10_325,MX,0.8813
SocialBehavioralAutism_1_1,SB,ModerateAutism_5_109,MO,0.9982
SocialBehavioralAutism_1_1,SB,ModerateAutism_7_179,MO,0.6724
SocialBehavioralAutism_1_2,SB,ModerateAutism_2_7,MO,0.9844
SocialBehavioralAutism_1_2,SB,ModerateAutism_3_38,MO,0.9965
SocialBehavioralAutism_1_3,SB,ModerateAutism_7_280,MO,0.9137
SocialBehavioralAutism_1_4,SB,ModerateAutism_6_192,MO,0.9912
SocialBehavioralAutism_2_5,SB,ModerateAutism_3_45,MO,0.6363
SocialBehavioralAutism_2_5,SB,ModerateAutism_4_54,MO,0.9979
SocialBehavioralAutism_2_5,SB,ModerateAutism_7_276,MO,0.9077
SocialBehavioralAutism_2_6,SB,ModerateAutism_2_5,MO,0.6783
SocialBehavioralAutism_2_6,SB,ModerateAutism_6_185,MO,0.9235
SocialBehavioralAutism_2_6,SB,ModerateAutism_7_198,MO,0.9886
SocialBehavioralAutism_2_7,SB,ModerateAutism_3_21,MO,0.9946
SocialBehavioralAutism_2_8,SB,ModerateAutism_4_67,MO,0.9066
SocialBehavioralAutism_2_9,SB,ModerateAutism_1_1,MO,0.9962
SocialBehavioralAutism_2_9,SB,ModerateAutism_6_141,MO,0.9421
SocialBehavioralAutism_2_9,SB,ModerateAutism_6_168,MO,0.9733
SocialBehavioralAutism_2_9,SB,ModerateAutism_7_209,MO,0.9906
SocialBehavioralAutism_2_10,SB,ModerateAutism_3_44,MO,0.8682
SocialBehavioralAutism_2_11,SB,ModerateAutism_2_5,MO,0.9605
SocialBehavioralAutism_2_11,SB,ModerateAutism_4_57,MO,0.5678
SocialBehavioralAutism_2_11,SB,ModerateAutism_4_67,MO,0.8769
SocialBehavioralAutism_2_11,SB,ModerateAutism_6_104,MO,0.9766
SocialBehavioralAutism_2_11,SB,ModerateAutism_6_123,MO,0.5604
SocialBehavioralAutism_2_11,SB,ModerateAutism_7_253,MO,0.6305
SocialBehavioralAutism_2_11,SB,ModerateAutism_8_307,MO,0.8339
SocialBehavioralAutism_2_11,SB,ModerateAutism_8_327,MO,0.9805
SocialBehavioralAutism_2_12,SB,ModerateAutism_3_45,MO,0.9977
SocialBehavioralAutism_2_13,SB,ModerateAutism_1_2,MO,0.5563
SocialBehavioralAutism_2_14,SB,ModerateAutism_4_56,MO,0.995
SocialBehavioralAutism_2_14,SB,ModerateAutism_7_179,MO,0.9857
SocialBehavioralAutism_3_19,SB,ModerateAutism_5_90,MO,0.9514
SocialBehavioralAutism_3_20,SB,ModerateAutism_4_54,MO,0.5505
SocialBehavioralAutism_3_20,SB,ModerateAutism_4_83,MO,0.9102
SocialBehavioralAutism_3_22,SB,ModerateAutism_2_9,MO,0.9971
SocialBehavioralAutism_3_22,SB,ModerateAutism_3_19,MO,0.9945
SocialBehavioralAutism_3_22,SB,ModerateAutism_4_56,MO,0.8841
SocialBehavioralAutism_3_22,SB,ModerateAutism_5_98,MO,0.975
SocialBehavioralAutism_3_22,SB,ModerateAutism_5_116,MO,0.9933
SocialBehavioralAutism_3_22,SB,ModerateAutism_6_123,MO,0.7891
SocialBehavioralAutism_3_22,SB,ModerateAutism_8_327,MO,0.9851
SocialBehavioralAutism_3_24,SB,ModerateAutism_2_5,MO,0.9928
SocialBehavioralAutism_3_24,SB,ModerateAutism_7_173,MO,0.797
SocialBehavioralAutism_3_24,SB,ModerateAutism_7_198,MO,0.9951
SocialBehavioralAutism_3_24,SB,ModerateAutism_7_257,MO,0.6183
SocialBehavioralAutism_3_25,SB,ModerateAutism_3_30,MO,0.9914
SocialBehavioralAutism_3_25,SB,ModerateAutism_3_45,MO,0.7064
SocialBehavioralAutism_3_25,SB,ModerateAutism_6_183,MO,0.9794
SocialBehavioralAutism_3_25,SB,ModerateAutism_8_327,MO,0.9931
SocialBehavioralAutism_3_26,SB,ModerateAutism_4_48,MO,0.9981
SocialBehavioralAutism_3_26,SB,ModerateAutism_6_174,MO,0.738
SocialBehavioralAutism_3_28,SB,ModerateAutism_4_67,MO,0.9923
SocialBehavioralAutism_3_28,SB,ModerateAutism_8_284,MO,0.611
SocialBehavioralAutism_3_31,SB,ModerateAutism_5_93,MO,0.6846
SocialBehavioralAutism_3_31,SB,ModerateAutism_7_231,MO,0.6014
SocialBehavioralAutism_3_36,SB,ModerateAutism_6_131,MO,0.9979
SocialBehavioralAutism_3_38,SB,ModerateAutism_7_303,MO,0.9711
SocialBehavioralAutism_3_38,SB,ModerateAutism_8_307,MO,0.9753
SocialBehavioralAutism_3_41,SB,ModerateAutism_2_5,MO,0.9955
SocialBehavioralAutism_3_41,SB,ModerateAutism_2_9,MO,0.5539
SocialBehavioralAutism_3_41,SB,ModerateAutism_3_45,MO,0.9771
SocialBehavioralAutism_3_41,SB,ModerateAutism_5_98,MO,0.9884
SocialBehavioralAutism_3_41,SB,ModerateAutism_7_198,MO,0.7669
SocialBehavioralAutism_3_41,SB,ModerateAutism_8_327,MO,0.9789
SocialBehavioralAutism_3_42,SB,ModerateAutism_5_100,MO,0.9839
SocialBehavioralAutism_3_42,SB,ModerateAutism_7_255,MO,0.8452
SocialBehavioralAutism_3_43,SB,ModerateAutism_4_54,MO,0.9913
SocialBehavioralAutism_3_43,SB,ModerateAutism_5_100,MO,0.9664
SocialBehavioralAutism_3_43,SB,ModerateAutism_7_276,MO,0.9948
SocialBehavioralAutism_3_45,SB,ModerateAutism_6_174,MO,0.7894
